Nível,Localidade,Distrito,Métier,Keyword,Intenção,Prioridade
District,distrito de Guarda,Guarda,Canalizador,canalizador distrito de Guarda,Transacional,ALTA
District,distrito de Guarda,Guarda,Canalizador,canalizador urgente distrito de Guarda,Transacional/Urgência,CRÍTICA
District,distrito de Guarda,Guarda,Canalizador,canalizador Atendimento 24h/7d distrito de Guarda,Urgência,ALTA
District,distrito de Guarda,Guarda,Canalizador,picheleiro distrito de Guarda,Transacional,ALTA
District,distrito de Guarda,Guarda,Canalizador,desentupimento distrito de Guarda,Transacional,ALTA
District,distrito de Guarda,Guarda,Canalizador,desentupir sanita distrito de Guarda,Urgência,MÉDIA
District,distrito de Guarda,Guarda,Canalizador,fuga de água distrito de Guarda,Urgência,ALTA
District,distrito de Guarda,Guarda,Canalizador,deteção de fugas distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Canalizador,reparação canalização distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Canalizador,assistência canalização distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Canalizador,esquentador distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Canalizador,cano rebentado distrito de Guarda,Urgência,MÉDIA
District,distrito de Guarda,Guarda,Canalizador,bomba de água distrito de Guarda,Transacional,BAIXA
District,distrito de Guarda,Guarda,Canalizador,canalizador ao domingo distrito de Guarda,Urgência,BAIXA
District,distrito de Guarda,Guarda,Eletricista,eletricista distrito de Guarda,Transacional,ALTA
District,distrito de Guarda,Guarda,Eletricista,eletricista urgente distrito de Guarda,Transacional/Urgência,CRÍTICA
District,distrito de Guarda,Guarda,Eletricista,eletricista Atendimento 24h/7d distrito de Guarda,Urgência,ALTA
District,distrito de Guarda,Guarda,Eletricista,avaria elétrica distrito de Guarda,Urgência,ALTA
District,distrito de Guarda,Guarda,Eletricista,curto-circuito distrito de Guarda,Urgência,MÉDIA
District,distrito de Guarda,Guarda,Eletricista,quadro elétrico distrito de Guarda,Transacional,ALTA
District,distrito de Guarda,Guarda,Eletricista,disjuntor a disparar distrito de Guarda,Urgência,MÉDIA
District,distrito de Guarda,Guarda,Eletricista,sem luz distrito de Guarda,Urgência,MÉDIA
District,distrito de Guarda,Guarda,Eletricista,reparação elétrica distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Eletricista,assistência elétrica distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Eletricista,certificação elétrica distrito de Guarda,Transacional,ALTA
District,distrito de Guarda,Guarda,Eletricista,instalação elétrica distrito de Guarda,Transacional,MÉDIA
District,distrito de Guarda,Guarda,Eletricista,iluminação led distrito de Guarda,Transacional,BAIXA
District,distrito de Guarda,Guarda,Eletricista,painéis solares distrito de Guarda,Transacional,BAIXA
District,distrito de Guarda,Guarda,Eletricista,carregador carro elétrico distrito de Guarda,Transacional,BAIXA
District,distrito de Guarda,Guarda,Eletricista,eletricista ao domingo distrito de Guarda,Urgência,BAIXA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,canalizador Macedo de Cavaleiros,Transacional,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,canalizador urgente Macedo de Cavaleiros,Transacional/Urgência,CRÍTICA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,canalizador Atendimento 24h/7d Macedo de Cavaleiros,Urgência,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,picheleiro Macedo de Cavaleiros,Transacional,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,desentupimento Macedo de Cavaleiros,Transacional,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,desentupir sanita Macedo de Cavaleiros,Urgência,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,fuga de água Macedo de Cavaleiros,Urgência,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,deteção de fugas Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,reparação canalização Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,assistência canalização Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,esquentador Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,cano rebentado Macedo de Cavaleiros,Urgência,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,bomba de água Macedo de Cavaleiros,Transacional,BAIXA
Cidade,Macedo de Cavaleiros,Bragança,Canalizador,canalizador ao domingo Macedo de Cavaleiros,Urgência,BAIXA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,eletricista Macedo de Cavaleiros,Transacional,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,eletricista urgente Macedo de Cavaleiros,Transacional/Urgência,CRÍTICA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,eletricista Atendimento 24h/7d Macedo de Cavaleiros,Urgência,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,avaria elétrica Macedo de Cavaleiros,Urgência,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,curto-circuito Macedo de Cavaleiros,Urgência,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,quadro elétrico Macedo de Cavaleiros,Transacional,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,disjuntor a disparar Macedo de Cavaleiros,Urgência,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,sem luz Macedo de Cavaleiros,Urgência,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,reparação elétrica Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,assistência elétrica Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,certificação elétrica Macedo de Cavaleiros,Transacional,ALTA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,instalação elétrica Macedo de Cavaleiros,Transacional,MÉDIA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,iluminação led Macedo de Cavaleiros,Transacional,BAIXA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,painéis solares Macedo de Cavaleiros,Transacional,BAIXA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,carregador carro elétrico Macedo de Cavaleiros,Transacional,BAIXA
Cidade,Macedo de Cavaleiros,Bragança,Eletricista,eletricista ao domingo Macedo de Cavaleiros,Urgência,BAIXA
Aldeia,Podence,Bragança,Canalizador,canalizador Podence,Transacional,ALTA
Aldeia,Podence,Bragança,Canalizador,canalizador urgente Podence,Transacional/Urgência,CRÍTICA
Aldeia,Podence,Bragança,Canalizador,canalizador Atendimento 24h/7d Podence,Urgência,ALTA
Aldeia,Podence,Bragança,Canalizador,picheleiro Podence,Transacional,ALTA
Aldeia,Podence,Bragança,Canalizador,desentupimento Podence,Transacional,ALTA
Aldeia,Podence,Bragança,Canalizador,fuga de água Podence,Urgência,ALTA
Aldeia,Podence,Bragança,Eletricista,eletricista Podence,Transacional,ALTA
Aldeia,Podence,Bragança,Eletricista,eletricista urgente Podence,Transacional/Urgência,CRÍTICA
Aldeia,Podence,Bragança,Eletricista,eletricista Atendimento 24h/7d Podence,Urgência,ALTA
Aldeia,Podence,Bragança,Eletricista,avaria elétrica Podence,Urgência,ALTA
Aldeia,Podence,Bragança,Eletricista,quadro elétrico Podence,Transacional,ALTA
Aldeia,Podence,Bragança,Eletricista,certificação elétrica Podence,Transacional,ALTA
Aldeia,Morais,Bragança,Canalizador,canalizador Morais,Transacional,ALTA
Aldeia,Morais,Bragança,Canalizador,canalizador urgente Morais,Transacional/Urgência,CRÍTICA
Aldeia,Morais,Bragança,Canalizador,canalizador Atendimento 24h/7d Morais,Urgência,ALTA
Aldeia,Morais,Bragança,Canalizador,picheleiro Morais,Transacional,ALTA
Aldeia,Morais,Bragança,Canalizador,desentupimento Morais,Transacional,ALTA
Aldeia,Morais,Bragança,Canalizador,fuga de água Morais,Urgência,ALTA
Aldeia,Morais,Bragança,Eletricista,eletricista Morais,Transacional,ALTA
Aldeia,Morais,Bragança,Eletricista,eletricista urgente Morais,Transacional/Urgência,CRÍTICA
Aldeia,Morais,Bragança,Eletricista,eletricista Atendimento 24h/7d Morais,Urgência,ALTA
Aldeia,Morais,Bragança,Eletricista,avaria elétrica Morais,Urgência,ALTA
Aldeia,Morais,Bragança,Eletricista,quadro elétrico Morais,Transacional,ALTA
Aldeia,Morais,Bragança,Eletricista,certificação elétrica Morais,Transacional,ALTA
Aldeia,Chacim,Bragança,Canalizador,canalizador Chacim,Transacional,ALTA
Aldeia,Chacim,Bragança,Canalizador,canalizador urgente Chacim,Transacional/Urgência,CRÍTICA
Aldeia,Chacim,Bragança,Canalizador,canalizador Atendimento 24h/7d Chacim,Urgência,ALTA
Aldeia,Chacim,Bragança,Canalizador,picheleiro Chacim,Transacional,ALTA
Aldeia,Chacim,Bragança,Canalizador,desentupimento Chacim,Transacional,ALTA
Aldeia,Chacim,Bragança,Canalizador,fuga de água Chacim,Urgência,ALTA
Aldeia,Chacim,Bragança,Eletricista,eletricista Chacim,Transacional,ALTA
Aldeia,Chacim,Bragança,Eletricista,eletricista urgente Chacim,Transacional/Urgência,CRÍTICA
Aldeia,Chacim,Bragança,Eletricista,eletricista Atendimento 24h/7d Chacim,Urgência,ALTA
Aldeia,Chacim,Bragança,Eletricista,avaria elétrica Chacim,Urgência,ALTA
Aldeia,Chacim,Bragança,Eletricista,quadro elétrico Chacim,Transacional,ALTA
Aldeia,Chacim,Bragança,Eletricista,certificação elétrica Chacim,Transacional,ALTA
Aldeia,Bornes,Bragança,Canalizador,canalizador Bornes,Transacional,ALTA
Aldeia,Bornes,Bragança,Canalizador,canalizador urgente Bornes,Transacional/Urgência,CRÍTICA
Aldeia,Bornes,Bragança,Canalizador,canalizador Atendimento 24h/7d Bornes,Urgência,ALTA
Aldeia,Bornes,Bragança,Canalizador,picheleiro Bornes,Transacional,ALTA
Aldeia,Bornes,Bragança,Canalizador,desentupimento Bornes,Transacional,ALTA
Aldeia,Bornes,Bragança,Canalizador,fuga de água Bornes,Urgência,ALTA
Aldeia,Bornes,Bragança,Eletricista,eletricista Bornes,Transacional,ALTA
Aldeia,Bornes,Bragança,Eletricista,eletricista urgente Bornes,Transacional/Urgência,CRÍTICA
Aldeia,Bornes,Bragança,Eletricista,eletricista Atendimento 24h/7d Bornes,Urgência,ALTA
Aldeia,Bornes,Bragança,Eletricista,avaria elétrica Bornes,Urgência,ALTA
Aldeia,Bornes,Bragança,Eletricista,quadro elétrico Bornes,Transacional,ALTA
Aldeia,Bornes,Bragança,Eletricista,certificação elétrica Bornes,Transacional,ALTA
Aldeia,Lagoa,Bragança,Canalizador,canalizador Lagoa,Transacional,ALTA
Aldeia,Lagoa,Bragança,Canalizador,canalizador urgente Lagoa,Transacional/Urgência,CRÍTICA
Aldeia,Lagoa,Bragança,Canalizador,canalizador Atendimento 24h/7d Lagoa,Urgência,ALTA
Aldeia,Lagoa,Bragança,Canalizador,picheleiro Lagoa,Transacional,ALTA
Aldeia,Lagoa,Bragança,Canalizador,desentupimento Lagoa,Transacional,ALTA
Aldeia,Lagoa,Bragança,Canalizador,fuga de água Lagoa,Urgência,ALTA
Aldeia,Lagoa,Bragança,Eletricista,eletricista Lagoa,Transacional,ALTA
Aldeia,Lagoa,Bragança,Eletricista,eletricista urgente Lagoa,Transacional/Urgência,CRÍTICA
Aldeia,Lagoa,Bragança,Eletricista,eletricista Atendimento 24h/7d Lagoa,Urgência,ALTA
Aldeia,Lagoa,Bragança,Eletricista,avaria elétrica Lagoa,Urgência,ALTA
Aldeia,Lagoa,Bragança,Eletricista,quadro elétrico Lagoa,Transacional,ALTA
Aldeia,Lagoa,Bragança,Eletricista,certificação elétrica Lagoa,Transacional,ALTA
Cidade,Bragança,Bragança,Canalizador,canalizador Bragança,Transacional,ALTA
Cidade,Bragança,Bragança,Canalizador,canalizador urgente Bragança,Transacional/Urgência,CRÍTICA
Cidade,Bragança,Bragança,Canalizador,canalizador Atendimento 24h/7d Bragança,Urgência,ALTA
Cidade,Bragança,Bragança,Canalizador,picheleiro Bragança,Transacional,ALTA
Cidade,Bragança,Bragança,Canalizador,desentupimento Bragança,Transacional,ALTA
Cidade,Bragança,Bragança,Canalizador,desentupir sanita Bragança,Urgência,MÉDIA
Cidade,Bragança,Bragança,Canalizador,fuga de água Bragança,Urgência,ALTA
Cidade,Bragança,Bragança,Canalizador,deteção de fugas Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Canalizador,reparação canalização Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Canalizador,assistência canalização Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Canalizador,esquentador Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Canalizador,cano rebentado Bragança,Urgência,MÉDIA
Cidade,Bragança,Bragança,Canalizador,bomba de água Bragança,Transacional,BAIXA
Cidade,Bragança,Bragança,Canalizador,canalizador ao domingo Bragança,Urgência,BAIXA
Cidade,Bragança,Bragança,Eletricista,eletricista Bragança,Transacional,ALTA
Cidade,Bragança,Bragança,Eletricista,eletricista urgente Bragança,Transacional/Urgência,CRÍTICA
Cidade,Bragança,Bragança,Eletricista,eletricista Atendimento 24h/7d Bragança,Urgência,ALTA
Cidade,Bragança,Bragança,Eletricista,avaria elétrica Bragança,Urgência,ALTA
Cidade,Bragança,Bragança,Eletricista,curto-circuito Bragança,Urgência,MÉDIA
Cidade,Bragança,Bragança,Eletricista,quadro elétrico Bragança,Transacional,ALTA
Cidade,Bragança,Bragança,Eletricista,disjuntor a disparar Bragança,Urgência,MÉDIA
Cidade,Bragança,Bragança,Eletricista,sem luz Bragança,Urgência,MÉDIA
Cidade,Bragança,Bragança,Eletricista,reparação elétrica Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Eletricista,assistência elétrica Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Eletricista,certificação elétrica Bragança,Transacional,ALTA
Cidade,Bragança,Bragança,Eletricista,instalação elétrica Bragança,Transacional,MÉDIA
Cidade,Bragança,Bragança,Eletricista,iluminação led Bragança,Transacional,BAIXA
Cidade,Bragança,Bragança,Eletricista,painéis solares Bragança,Transacional,BAIXA
Cidade,Bragança,Bragança,Eletricista,carregador carro elétrico Bragança,Transacional,BAIXA
Cidade,Bragança,Bragança,Eletricista,eletricista ao domingo Bragança,Urgência,BAIXA
Aldeia,Samil,Bragança,Canalizador,canalizador Samil,Transacional,ALTA
Aldeia,Samil,Bragança,Canalizador,canalizador urgente Samil,Transacional/Urgência,CRÍTICA
Aldeia,Samil,Bragança,Canalizador,canalizador Atendimento 24h/7d Samil,Urgência,ALTA
Aldeia,Samil,Bragança,Canalizador,picheleiro Samil,Transacional,ALTA
Aldeia,Samil,Bragança,Canalizador,desentupimento Samil,Transacional,ALTA
Aldeia,Samil,Bragança,Canalizador,fuga de água Samil,Urgência,ALTA
Aldeia,Samil,Bragança,Eletricista,eletricista Samil,Transacional,ALTA
Aldeia,Samil,Bragança,Eletricista,eletricista urgente Samil,Transacional/Urgência,CRÍTICA
Aldeia,Samil,Bragança,Eletricista,eletricista Atendimento 24h/7d Samil,Urgência,ALTA
Aldeia,Samil,Bragança,Eletricista,avaria elétrica Samil,Urgência,ALTA
Aldeia,Samil,Bragança,Eletricista,quadro elétrico Samil,Transacional,ALTA
Aldeia,Samil,Bragança,Eletricista,certificação elétrica Samil,Transacional,ALTA
Aldeia,Gimonde,Bragança,Canalizador,canalizador Gimonde,Transacional,ALTA
Aldeia,Gimonde,Bragança,Canalizador,canalizador urgente Gimonde,Transacional/Urgência,CRÍTICA
Aldeia,Gimonde,Bragança,Canalizador,canalizador Atendimento 24h/7d Gimonde,Urgência,ALTA
Aldeia,Gimonde,Bragança,Canalizador,picheleiro Gimonde,Transacional,ALTA
Aldeia,Gimonde,Bragança,Canalizador,desentupimento Gimonde,Transacional,ALTA
Aldeia,Gimonde,Bragança,Canalizador,fuga de água Gimonde,Urgência,ALTA
Aldeia,Gimonde,Bragança,Eletricista,eletricista Gimonde,Transacional,ALTA
Aldeia,Gimonde,Bragança,Eletricista,eletricista urgente Gimonde,Transacional/Urgência,CRÍTICA
Aldeia,Gimonde,Bragança,Eletricista,eletricista Atendimento 24h/7d Gimonde,Urgência,ALTA
Aldeia,Gimonde,Bragança,Eletricista,avaria elétrica Gimonde,Urgência,ALTA
Aldeia,Gimonde,Bragança,Eletricista,quadro elétrico Gimonde,Transacional,ALTA
Aldeia,Gimonde,Bragança,Eletricista,certificação elétrica Gimonde,Transacional,ALTA
Aldeia,França,Bragança,Canalizador,canalizador França,Transacional,ALTA
Aldeia,França,Bragança,Canalizador,canalizador urgente França,Transacional/Urgência,CRÍTICA
Aldeia,França,Bragança,Canalizador,canalizador Atendimento 24h/7d França,Urgência,ALTA
Aldeia,França,Bragança,Canalizador,picheleiro França,Transacional,ALTA
Aldeia,França,Bragança,Canalizador,desentupimento França,Transacional,ALTA
Aldeia,França,Bragança,Canalizador,fuga de água França,Urgência,ALTA
Aldeia,França,Bragança,Eletricista,eletricista França,Transacional,ALTA
Aldeia,França,Bragança,Eletricista,eletricista urgente França,Transacional/Urgência,CRÍTICA
Aldeia,França,Bragança,Eletricista,eletricista Atendimento 24h/7d França,Urgência,ALTA
Aldeia,França,Bragança,Eletricista,avaria elétrica França,Urgência,ALTA
Aldeia,França,Bragança,Eletricista,quadro elétrico França,Transacional,ALTA
Aldeia,França,Bragança,Eletricista,certificação elétrica França,Transacional,ALTA
Aldeia,Sendim,Bragança,Canalizador,canalizador Sendim,Transacional,ALTA
Aldeia,Sendim,Bragança,Canalizador,canalizador urgente Sendim,Transacional/Urgência,CRÍTICA
Aldeia,Sendim,Bragança,Canalizador,canalizador Atendimento 24h/7d Sendim,Urgência,ALTA
Aldeia,Sendim,Bragança,Canalizador,picheleiro Sendim,Transacional,ALTA
Aldeia,Sendim,Bragança,Canalizador,desentupimento Sendim,Transacional,ALTA
Aldeia,Sendim,Bragança,Canalizador,fuga de água Sendim,Urgência,ALTA
Aldeia,Sendim,Bragança,Eletricista,eletricista Sendim,Transacional,ALTA
Aldeia,Sendim,Bragança,Eletricista,eletricista urgente Sendim,Transacional/Urgência,CRÍTICA
Aldeia,Sendim,Bragança,Eletricista,eletricista Atendimento 24h/7d Sendim,Urgência,ALTA
Aldeia,Sendim,Bragança,Eletricista,avaria elétrica Sendim,Urgência,ALTA
Aldeia,Sendim,Bragança,Eletricista,quadro elétrico Sendim,Transacional,ALTA
Aldeia,Sendim,Bragança,Eletricista,certificação elétrica Sendim,Transacional,ALTA
Aldeia,Rio de Onor,Bragança,Canalizador,canalizador Rio de Onor,Transacional,ALTA
Aldeia,Rio de Onor,Bragança,Canalizador,canalizador urgente Rio de Onor,Transacional/Urgência,CRÍTICA
Aldeia,Rio de Onor,Bragança,Canalizador,canalizador Atendimento 24h/7d Rio de Onor,Urgência,ALTA
Aldeia,Rio de Onor,Bragança,Canalizador,picheleiro Rio de Onor,Transacional,ALTA
Aldeia,Rio de Onor,Bragança,Canalizador,desentupimento Rio de Onor,Transacional,ALTA
Aldeia,Rio de Onor,Bragança,Canalizador,fuga de água Rio de Onor,Urgência,ALTA
Aldeia,Rio de Onor,Bragança,Eletricista,eletricista Rio de Onor,Transacional,ALTA
Aldeia,Rio de Onor,Bragança,Eletricista,eletricista urgente Rio de Onor,Transacional/Urgência,CRÍTICA
Aldeia,Rio de Onor,Bragança,Eletricista,eletricista Atendimento 24h/7d Rio de Onor,Urgência,ALTA
Aldeia,Rio de Onor,Bragança,Eletricista,avaria elétrica Rio de Onor,Urgência,ALTA
Aldeia,Rio de Onor,Bragança,Eletricista,quadro elétrico Rio de Onor,Transacional,ALTA
Aldeia,Rio de Onor,Bragança,Eletricista,certificação elétrica Rio de Onor,Transacional,ALTA
Cidade,Mirandela,Bragança,Canalizador,canalizador Mirandela,Transacional,ALTA
Cidade,Mirandela,Bragança,Canalizador,canalizador urgente Mirandela,Transacional/Urgência,CRÍTICA
Cidade,尾巴,Bragança,Canalizador,canalizador Atendimento 24h/7d Mirandela,Urgência,ALTA
Cidade,Mirandela,Bragança,Canalizador,picheleiro Mirandela,Transacional,ALTA
Cidade,Mirandela,Bragança,Canalizador,desentupimento Mirandela,Transacional,ALTA
Cidade,Mirandela,Bragança,Canalizador,desentupir sanita Mirandela,Urgência,MÉDIA
Cidade,Mirandela,Bragança,Canalizador,fuga de água Mirandela,Urgência,ALTA
Cidade,Mirandela,Bragança,Canalizador,deteção de fugas Mirandela,Transacional,MÉDIA
Cidade,Mirandela,Bragança,Canalizador,reparação canalização Mirandela,Transacional,MÉDIA
Cidade,Mirandela,Bragança,Canalizador,assistência canalização Mirandela,Transacional,MÉDIA
Cidade,Mirandela,Bragança,Canalizador,esquentador Mirandela,Transacional,MÉDIA
Cidade,Mirandela,Bragança,Canalizador,cano rebentado Mirandela,Urgência,MÉDIA
Cidade,Mirandela,Bragança,Canalizador,bomba de água Mirandela,Transacional,BAIXA
Cidade,Mirandela,Bragança,Canalizador,canalizador ao domingo Mirandela,Urgência,BAIXA
Cidade,Mirandela,Bragança,Eletricista,eletricista Mirandela,Transacional,ALTA
Cidade,Mirandela,Bragança,Eletricista,eletricista urgente Mirandela,Transacional/Urgência,CRÍTICA
Cidade,Mirandela,Bragança,Eletricista,eletricista Atendimento 24h/7d Mirandela,Urgência,ALTA
